Epoch,Accuracy,AVG_loss
1,68.61995753715499,0.7732334136962891
2,68.29440905874027,0.7758939266204834
3,68.36518046709129,0.7769519090652466
4,68.3864118895966,0.7736756801605225
5,68.51380042462844,0.7730017304420471
6,68.34394904458598,0.7748796343803406
7,68.18825194621373,0.7765594124794006
8,68.55626326963906,0.7738083600997925
9,68.1104033970276,0.7787033915519714
10,68.39348903043171,0.7743262052536011
11,68.22363765038925,0.776421844959259
12,68.44302901627742,0.773735523223877
13,68.35102618542109,0.7733632922172546
14,68.41472045293702,0.7739164233207703
15,68.4005661712668,0.7737959623336792
16,68.78273177636235,0.7718521356582642
17,68.24486907289456,0.7751490473747253
18,68.27317763623496,0.7758800387382507
19,68.28733191790516,0.7768587470054626
20,68.78273177636235,0.7707749009132385
21,68.42887473460722,0.7734097242355347
22,68.3793347487615,0.7759145498275757
23,68.1033262561925,0.7775071859359741
24,68.49256900212313,0.7740049362182617
25,68.34394904458598,0.7746455073356628
26,68.1457891012031,0.776720404624939
27,68.54918612880397,0.7731848359107971
28,68.40764331210191,0.7737507820129395
29,67.96886058032555,0.77817302942276
30,68.31564048124558,0.7751746773719788
31,68.32271762208067,0.7771865725517273
32,68.1174805378627,0.7756702899932861
33,68.42887473460722,0.7738270163536072
34,68.52795470629866,0.7730226516723633
35,68.3581033262562,0.7751646637916565
36,68.40764331210191,0.7740453481674194
37,67.93347487615003,0.7801346778869629
38,68.32979476291578,0.7777636647224426
39,68.32271762208067,0.7753401398658752
40,68.52795470629866,0.7724705934524536
41,68.53503184713375,0.7734413743019104
42,68.39348903043171,0.7751638293266296
43,68.52795470629866,0.7729728817939758
44,68.55626326963906,0.7714542150497437
45,68.29440905874027,0.7772424817085266
46,68.23779193205944,0.7772867679595947
47,68.30148619957536,0.7752997279167175
48,68.6553432413305,0.7735393047332764
49,68.49964614295826,0.7751753330230713
50,68.33687190375089,0.7745258808135986
51,68.30148619957536,0.7746697664260864
52,68.6553432413305,0.7750616073608398
53,68.57041755130928,0.7724506855010986
54,68.4005661712668,0.7757761478424072
55,68.43595187544233,0.7743716239929199
56,68.40764331210191,0.7734374403953552
57,68.58457183297948,0.7739831805229187
58,68.57749469214437,0.7717868685722351
59,68.22363765038925,0.7759503722190857
60,68.61288039631988,0.7728757262229919
61,68.68365180467092,0.7724219560623169
62,67.89808917197452,0.7781356573104858
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
